sentence,stance_type,cue,start,end,section,page
"The data is not controlled properly to answer this question, i.e., we cannot tell whether three-word MUs would yield higher pause durations than two-word MUs, and so on.",self_mention,we,13,14,,
Such an optimistic prospect may never be found in L2 learners like my participants whose use of multi-word MUs obviously added a significant processing burden to the production process.,hedging,may,4,5,,
Such an optimistic prospect may never be found in L2 learners like my participants whose use of multi-word MUs obviously added a significant processing burden to the production process.,self_mention,my,12,13,,
"Mai described her writing approach as follows: First I’d read the task question, then I’d judge the issue to see whether I agree or disagree [with it].",self_mention,i,9,10,,
"Mai described her writing approach as follows: First I’d read the task question, then I’d judge the issue to see whether I agree or disagree [with it].",self_mention,i,18,19,,
"Mai described her writing approach as follows: First I’d read the task question, then I’d judge the issue to see whether I agree or disagree [with it].",self_mention,i,27,28,,
Then I’d formulate three main points.,self_mention,i,1,2,,
In the body of the essay I’d present reasons why I agree or disagree.,self_mention,i,6,7,,
In the body of the essay I’d present reasons why I agree or disagree.,self_mention,i,12,13,,
"Because of time limit, here I present only two reasons.",self_mention,i,6,7,,
"With each reason, I try to clarify it with supporting ideas.",self_mention,i,4,5,,
"Normally I’d write an argumentative paragraph in the third paragraph [of the body]39 but because of time limit, I did not write it.",self_mention,i,1,2,,
"Normally I’d write an argumentative paragraph in the third paragraph [of the body]39 but because of time limit, I did not write it.",self_mention,i,24,25,,
[Instead] I added it to the conclusion.,self_mention,i,3,4,,
"In the conclusion, I also summarized my points.",self_mention,i,4,5,,
"In the conclusion, I also summarized my points.",self_mention,my,7,8,,
"While I write I try to mobilize the phrases, the words for my essay to be richer in ideas and better in 39 According to the popular model adopted in language teaching in Vietnam, in the body of an essay that addresses the agree or disagree task question, the writer has to write two paragraphs to support their point of view and a third paragraph to counter their opponents’ points of view.",self_mention,i,1,2,,
"While I write I try to mobilize the phrases, the words for my essay to be richer in ideas and better in 39 According to the popular model adopted in language teaching in Vietnam, in the body of an essay that addresses the agree or disagree task question, the writer has to write two paragraphs to support their point of view and a third paragraph to counter their opponents’ points of view.",self_mention,i,3,4,,
"While I write I try to mobilize the phrases, the words for my essay to be richer in ideas and better in 39 According to the popular model adopted in language teaching in Vietnam, in the body of an essay that addresses the agree or disagree task question, the writer has to write two paragraphs to support their point of view and a third paragraph to counter their opponents’ points of view.",self_mention,my,13,14,,
I don’t know how they come out in this essay.,self_mention,i,0,1,,
"When I did the writing, I mainly copied from the draft and only made small changes.",self_mention,i,1,2,,
"When I did the writing, I mainly copied from the draft and only made small changes.",self_mention,i,6,7,,
The findings show that Mai was the most fluent and the most metaphoric writer.,boosting,show,2,3,,
"Lietrat[BACK 5]terature·is·{2012}a·mirror·frl[BACK 3]ree[BACK]flect [BACK]ing·{2465}human·life[RSHIFT], I use mirror because I think that life is greatly colourful.",self_mention,i,31,32,,
"Lietrat[BACK 5]terature·is·{2012}a·mirror·frl[BACK 3]ree[BACK]flect [BACK]ing·{2465}human·life[RSHIFT], I use mirror because I think that life is greatly colourful.",self_mention,i,35,36,,
Example 162. us·{2574}to·look·at·ife·[BACK 4]life·[Movement]with·a We look at life means that we perceive life.,self_mention,we,16,17,,
Example 162. us·{2574}to·look·at·ife·[BACK 4]life·[Movement]with·a We look at life means that we perceive life.,self_mention,we,22,23,,
"I think that using look in nhìn vào cuộc sống, we can see the multidimensionality [of the perspective].",self_mention,i,0,1,,
"I think that using look in nhìn vào cuộc sống, we can see the multidimensionality [of the perspective].",self_mention,we,11,12,,
We normally use absorb as in trees absorbing nutrients.,self_mention,we,0,1,,
Here [I want to talk about] literature appreciation.,self_mention,i,2,3,,
World here is not the wide world but is limited within the world of the work we are reading.,self_mention,we,16,17,,
"I was imagining the poetic melody flying gracefully, like candy, sweet, tasty, poems are graceful and pleasant to the ears.",self_mention,i,0,1,,
I can visualize many roads to travel.,self_mention,i,0,1,,
Literature is our option.,self_mention,our,2,3,,
"To answer this question, we need to consider two issues: planning and metaphoricity.",self_mention,we,5,6,,
"In fact, reviewing a number of studies on writing processes, Hayes and Nash (1996) have shown that planning is not more valuable than other writing processes such as text generation or revising and that the proportion of time devoted to planning does not make a better piece of writing.",boosting,shown,19,20,,
"On the other hand, if we are talking about metaphoricity in her verbal reports, i.e., the core issue, two sub-questions arise: is this metaphoricity a thinking mechanism, or is it a response mechanism stimulated by the task?",self_mention,we,6,7,,
"In the first case, as current metaphor scholarship has proved, metaphoric thinking would be part of the thinking process, regardless of the presence of planning.",boosting,proved,10,11,,
